folder_date,control_mode,gain,n_modes_controlled,record_time,pyramid,rms
2025-10-01_06-58-49,int,0.5,195,5.0,3 sided,0.012305890136356397
2025-10-01_06-59-09,int,0.5,195,5.0,4 sided,0.00872319911798512
2025-10-01_07-02-21,int,1.0,195,5.0,3 sided,0.012700475024882554
2025-10-01_07-06-46,int,0.800000011920929,195,5.0,3 sided,0.04913326241087192
2025-10-01_07-07-03,int,1.0,195,5.0,3 sided,0.06877808803715652
2025-10-01_07-10-33,int,1.0,195,5.0,3 sided,0.0061069754994770315
2025-10-01_07-10-46,int,1.0,195,5.0,4 sided,0.03288258178753784
2025-10-01_07-11-15,int,1.0,195,10.0,3 sided,0.010825579951613522
2025-10-01_07-11-31,int,1.0,195,10.0,4 sided,0.09293117670616091
2025-10-01_07-12-09,int,1.0,195,5.0,3 sided,0.15054692841851366
2025-10-01_07-12-16,int,1.0,195,5.0,4 sided,0.7085034460947572
